Mag,count
7.430769230769231,13
7.13125,16
7.155555555555555,18
7.226666666666666,15
7.41764705882353,17
7.178260869565217,23
7.320000000000001,25
7.27058823529412,17
7.191666666666666,12
7.020833333333333,24
7.078947368421052,19
6.894117647058823,17
7.372727272727272,11
7.178947368421053,19
6.943749999999999,16
7.171428571428571,14
7.252380952380953,21
6.9772727272727275,22
7.4399999999999995,15
7.08,10
6.945454545454544,11
6.769999999999999,10
6.981249999999999,16
6.871428571428574,21
6.974999999999999,12
6.605555555555556,18
6.666666666666667,15
6.554999999999998,20
6.632142857142857,28
6.9526315789473685,19
6.185185185185186,27
7.033333333333333,21
6.825,20
6.753846153846154,13
7.107692307692308,13
6.561904761904761,21
6.640000000000001,15
6.976923076923077,13
7.106249999999999,16
6.805882352941176,17
6.615384615384615,13
6.8999999999999995,17
7.015384615384614,13
7.090476190476191,21
6.885714285714285,14
6.771428571428571,7
7.270588235294117,17
6.626666666666667,15
7.005555555555556,18
7.026315789473684,19
7.213636363636362,22
6.864285714285715,14
6.814285714285714,14
6.7888888888888905,18
6.533333333333333,21
6.657894736842104,19
6.48695652173913,23
7.18695652173913,23
6.999999999999999,13
6.647619047619047,21
6.811111111111111,18
6.762499999999999,24
6.196875000000001,32
6.533333333333333,27
6.583333333333333,18
6.680769230769231,26
6.219354838709676,31
6.333333333333332,27
6.4789473684210535,38
6.366666666666668,30
6.4645161290322575,31
6.345454545454545,33
6.480769230769231,26
6.38076923076923,26
6.338095238095238,21
6.5233333333333325,30
6.576470588235295,34
6.45,24
6.4,32
6.367647058823529,34
5.924242424242424,33
6.236363636363635,22
5.92,25
6.126086956521738,46
5.928571428571429,28
6.409999999999998,30
5.693939393939394,33
6.251515151515151,33
6.06,30
5.842857142857142,35
6.0352941176470605,51
5.788095238095236,42
6.311111111111111,27
6.192307692307692,26
6.537500000000001,32
6.8677419354838705,31
6.894736842105263,19
6.347058823529412,34
6.16774193548387,31
6.017142857142857,35
6.213513513513514,37
6.3076923076923075,26
5.973333333333332,60
5.881944444444446,72
5.724358974358976,78
5.704999999999999,60
5.552459016393443,61
5.911940298507462,67
5.711842105263158,76
5.91967213114754,61
5.99032258064516,62
5.986666666666667,60
6.269387755102043,49
6.030188679245283,53
6.050909090909093,55
6.204166666666669,48
6.313461538461538,52
5.9640625000000025,64
5.929230769230771,65
5.829508196721312,61
6.217857142857143,28
6.2,1
